arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2502.14895,High-Dynamic Radar Sequence Prediction for Weather Nowcasting Using Spatiotemporal Coherent Gaussian Representation,"Ziye Wang, Yiran Qin, Lin Zeng, Ruimao Zhang",Accepted as an Oral paper at ICLR 2025. Project page: this https URL,,Computer Vision and Pattern Recognition (cs.CV); Signal Processing (eess.SP),https://arxiv.org/abs/2502.14895,https://arxiv.org/pdf/2502.14895,https://arxiv.org/html/2502.14895v1,https://arxiv.org/format/2502.14895
arXiv:2502.14942,Design of a Visual Pose Estimation Algorithm for Moon Landing,"Atakan Süslü, Betül Rana Kuran, Halil Ersin Söken","6 pages, 8 figures, Presented in 11th Nano-Satellite Symposium",,Robotics (cs.RO); Computer Vision and Pattern Recognition (cs.CV); Systems and Control (eess.SY),https://arxiv.org/abs/2502.14942,https://arxiv.org/pdf/2502.14942,,https://arxiv.org/format/2502.14942
arXiv:2502.15006,Safe Beyond the Horizon: Efficient Sampling-based MPC with Neural Control Barrier Functions,"Ji Yin, Oswin So, Eric Yang Yu, Chuchu Fan, Panagiotis Tsiotras",,,Robotics (cs.RO); Artificial Intelligence (cs.AI); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15006,https://arxiv.org/pdf/2502.15006,https://arxiv.org/html/2502.15006v1,https://arxiv.org/format/2502.15006
arXiv:2502.15014,Inferring System and Optimal Control Parameters of Closed-Loop Systems from Partial Observations,"Victor Geadah, Juncal Arbelaiz, Harrison Ritz, Nathaniel D. Daw, Jonathan D. Cohen, Jonathan W. Pillow","8 pages, 4 figures, to appear in the Proceedings of the 2024 IEEE 63rd Conference on Decision and Control (CDC)",,Optimization and Control (math.OC); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15014,https://arxiv.org/pdf/2502.15014,https://arxiv.org/html/2502.15014v1,https://arxiv.org/format/2502.15014
arXiv:2502.15043,DDAT: Diffusion Policies Enforcing Dynamically Admissible Robot Trajectories,"Jean-Baptiste Bouvier, Kanghyun Ryu, Kartik Nagpal, Qiayuan Liao, Koushil Sreenath, Negar Mehr",,Robotics: Science and Systems (RSS) 2025,Robotics (cs.RO); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15043,https://arxiv.org/pdf/2502.15043,https://arxiv.org/html/2502.15043v2,https://arxiv.org/format/2502.15043
arXiv:2502.15056,Fundamental Survey on Neuromorphic Based Audio Classification,"Amlan Basu, Pranav Chaudhari, Gaetano Di Caterina","24 Pages, 1 Table",,Sound (cs.SD); Artificial Intelligence (cs.AI); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.15056,https://arxiv.org/pdf/2502.15056,,https://arxiv.org/format/2502.15056
arXiv:2502.15064,Pseudoinverse Diffusion Models for Generative CT Image Reconstruction from Low Dose Data,"Matthew Tivnan, Dufan Wu, Quanzheng Li",,,Medical Physics (physics.med-ph); Image and Video Processing (eess.IV),https://arxiv.org/abs/2502.15064,https://arxiv.org/pdf/2502.15064,https://arxiv.org/html/2502.15064v1,https://arxiv.org/format/2502.15064
arXiv:2502.15158,Improving Streaming Speech Recognition With Time-Shifted Contextual Attention And Dynamic Right Context Masking,"Khanh Le, Duc Chau",INTERSPEECH 2024,,Sound (cs.SD); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.15158,https://arxiv.org/pdf/2502.15158,https://arxiv.org/html/2502.15158v1,https://arxiv.org/format/2502.15158
arXiv:2502.15198,Graph-Based Deep Learning on Stereo EEG for Predicting Seizure Freedom in Epilepsy Patients,"Artur Agaronyan, Syeda Abeera Amir, Nunthasiri Wittayanakorn, John Schreiber, Marius G. Linguraru, William Gaillard, Chima Oluigbo, Syed Muhammad Anwar",,,Machine Learning (cs.LG); Signal Processing (eess.SP); Neurons and Cognition (q-bio.NC),https://arxiv.org/abs/2502.15198,https://arxiv.org/pdf/2502.15198,,https://arxiv.org/format/2502.15198
arXiv:2502.15218,ESPnet-SpeechLM: An Open Speech Language Model Toolkit,"Jinchuan Tian, Jiatong Shi, William Chen, Siddhant Arora, Yoshiki Masuyama, Takashi Maekaku, Yihan Wu, Junyi Peng, Shikhar Bharadwaj, Yiwen Zhao, Samuele Cornell, Yifan Peng, Xiang Yue, Chao-Han Huck Yang, Graham Neubig, Shinji Watanabe",,,Computation and Language (cs.CL); Sound (cs.SD); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.15218,https://arxiv.org/pdf/2502.15218,https://arxiv.org/html/2502.15218v2,https://arxiv.org/format/2502.15218
arXiv:2502.15240,Multi-agent Multi-armed Bandits with Minimum Reward Guarantee Fairness,"Piyushi Manupriya, Himanshu, SakethaNath Jagarlapudi, Ganesh Ghalme",,,Machine Learning (cs.LG); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15240,https://arxiv.org/pdf/2502.15240,https://arxiv.org/html/2502.15240v1,https://arxiv.org/format/2502.15240
arXiv:2502.15264,Retrieval-Augmented Speech Recognition Approach for Domain Challenges,"Peng Shen, Xugang Lu, Hisashi Kawai",,,Computation and Language (cs.CL); Sound (cs.SD); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.15264,https://arxiv.org/pdf/2502.15264,https://arxiv.org/html/2502.15264v1,https://arxiv.org/format/2502.15264
arXiv:2502.15271,Omnidirectional Image Quality Captioning: A Large-scale Database and A New Model,"Jiebin Yan, Ziwen Tan, Yuming Fang, Junjie Chen, Wenhui Jiang, Zhou Wang",,,Computer Vision and Pattern Recognition (cs.CV); Image and Video Processing (eess.IV),https://arxiv.org/abs/2502.15271,https://arxiv.org/pdf/2502.15271,https://arxiv.org/html/2502.15271v1,https://arxiv.org/format/2502.15271
arXiv:2502.15276,Categorical Lyapunov Theory I: Stability of Flows,"Aaron D. Ames, Joe Moeller, Paulo Tabuada",31 pages,,Dynamical Systems (math.DS); Systems and Control (eess.SY); Category Theory (math.CT),https://arxiv.org/abs/2502.15276,https://arxiv.org/pdf/2502.15276,,https://arxiv.org/format/2502.15276
arXiv:2502.15285,Offload Rethinking by Cloud Assistance for Efficient Environmental Sound Recognition on LPWANs,"Le Zhang, Quanling Zhao, Run Wang, Shirley Bian, Onat Gungor, Flavio Ponzina, Tajana Rosing",Accepted by The 23rd ACM Conference on Embedded Networked Sensor Systems (SenSys '25),,"Sound (cs.SD); Artificial Intelligence (cs.AI); Distributed, Parallel, and Cluster Computing (cs.DC); Networking and Internet Architecture (cs.NI); Audio and Speech Processing (eess.AS)",https://arxiv.org/abs/2502.15285,https://arxiv.org/pdf/2502.15285,https://arxiv.org/html/2502.15285v3,https://arxiv.org/format/2502.15285
