arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2501.00604,String breaking dynamics in Ising chain with local vibrations,"Arindam Mallick, Maciej Lewenstein, Jakub Zakrzewski, Marcin Płodzień",,,Quantum Physics (quant-ph); Quantum Gases (cond-mat.quant-gas),https://arxiv.org/abs/2501.00604,https://arxiv.org/pdf/2501.00604,https://arxiv.org/html/2501.00604v1,https://arxiv.org/format/2501.00604
arXiv:2501.00627,Violation of the Thermodynamic Uncertainty Relation in Quantum Collisional Models,"Arghya Maity, Ahana Ghoshal","17 Pages, 4 Figures",,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00627,https://arxiv.org/pdf/2501.00627,https://arxiv.org/html/2501.00627v1,https://arxiv.org/format/2501.00627
arXiv:2501.00683,Electronic Noise Considerations for Designing Integrated Solid-State Quantum Memories,"Tzu-Yung Huang, David A. Hopper, Kaisarbek Omirzakhov, Mohamad Hossein Idjadi, S. Alexander Breitweiser, Firooz Aflatouni, Lee C. Bassett",,,Quantum Physics (quant-ph); Mesoscale and Nanoscale Physics (cond-mat.mes-hall),https://arxiv.org/abs/2501.00683,https://arxiv.org/pdf/2501.00683,https://arxiv.org/html/2501.00683v1,https://arxiv.org/format/2501.00683
arXiv:2501.00718,Generalized Probability Theory: notes for a short course,Alex Wilce,"75 pp. Revised to correct innumerable typos, notational inconsistencies, etc. Section 4.4 partly rewritten. Appendix C added. All still preliminary and likely to be further revised and expanded. Feedback most welcome",,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00718,https://arxiv.org/pdf/2501.00718,https://arxiv.org/html/2501.00718v2,https://arxiv.org/format/2501.00718
arXiv:2501.00771,Role of long-range interaction in critical quantum metrology,"Zhen-Xia Niu, Qian Wang","11 pages, 4 figures",,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00771,https://arxiv.org/pdf/2501.00771,https://arxiv.org/html/2501.00771v1,https://arxiv.org/format/2501.00771
arXiv:2501.00832,Thermodynamic work and heat for a quantum process: Approach by Hamiltonian decomposition,"Tao Zhou, Jiangyang Pu, Xiaohua Wu","5 pages, no figures, and comments welcome",,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00832,https://arxiv.org/pdf/2501.00832,https://arxiv.org/html/2501.00832v1,https://arxiv.org/format/2501.00832
arXiv:2501.00900,Photon-photon coupling induced bound state in the continuum and transparency,"Ekta Tunwal, Kuldeep Kumar Shrivastava, Rakesh Kumar Nayak, Ravi Kumar, Somak Bhattacharyya, Rajeev Singh, Biswanath Bhoi",,,Quantum Physics (quant-ph); Materials Science (cond-mat.mtrl-sci),https://arxiv.org/abs/2501.00900,https://arxiv.org/pdf/2501.00900,https://arxiv.org/html/2501.00900v1,https://arxiv.org/format/2501.00900
arXiv:2501.00916,Provable DI-QRNG protocols based on self-testing methodologies in preparation and measure scenario,"Asmita Samanta, Arpita Maitra, Goutam Paul",,,Quantum Physics (quant-ph); Cryptography and Security (cs.CR),https://arxiv.org/abs/2501.00916,https://arxiv.org/pdf/2501.00916,https://arxiv.org/html/2501.00916v2,https://arxiv.org/format/2501.00916
arXiv:2501.00951,Pseudorandom quantum authentication,"Tobias Haug, Nikhil Bansal, Wai-Keong Mok, Dax Enshan Koh, Kishor Bharti","7 + 21 pages, 2 figures",,Quantum Physics (quant-ph); Computational Complexity (cs.CC); Cryptography and Security (cs.CR),https://arxiv.org/abs/2501.00951,https://arxiv.org/pdf/2501.00951,https://arxiv.org/html/2501.00951v1,https://arxiv.org/format/2501.00951
arXiv:2501.01033,Exceptional point in a trimer chain of oscillators with a quadratic driving,"M Shoufie Ukhtary, Albert Andersen, Donny Dwiputra, M. Jauhar Kholili",,,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.01033,https://arxiv.org/pdf/2501.01033,https://arxiv.org/html/2501.01033v1,https://arxiv.org/format/2501.01033
arXiv:2501.01058,A Quantum Genetic Algorithm Framework for the MaxCut Problem,"Paulo A. Viana, Fernando M. de Paula Neto",,,Quantum Physics (quant-ph); Emerging Technologies (cs.ET); Performance (cs.PF),https://arxiv.org/abs/2501.01058,https://arxiv.org/pdf/2501.01058,https://arxiv.org/html/2501.01058v1,https://arxiv.org/format/2501.01058
arXiv:2501.01088,Detecting high-dimensional entanglement by local randomized projections,"Jin-Min Liang, Shuheng Liu, Shao-Ming Fei, Qiongyi He","12 pages, 6 figures",,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.01088,https://arxiv.org/pdf/2501.01088,https://arxiv.org/html/2501.01088v1,https://arxiv.org/format/2501.01088
